run_id,sample_id,document_id,pair_kind,source_id,generated_id,score,draft_label,source_requirement,generated_requirement,human_label,human_corrected
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0004,NFR-036,0.8450730443000793,FULL_MATCH,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,"For user profiles in our application, we need a way for users to log any defects or enhancement requests and track them.",PARTIAL_SCOPE_GENERALIZED,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0088,FR-009,0.8970291614532471,PARTIAL_ACTOR_DROPPED,"Taking account of the users’ tasks and information needs: When providing different access paths or navigation structures for different user groups, the tasks and information needs of these user groups should be taken into consideration.","When designing different access paths or navigation structures for various user groups, we need to consider the specific tasks and information needs of each group to ensure they can efficiently find what they need.",FULL_MATCH,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0091,NFR-038,0.8689565062522888,PARTIAL_CONDITION_DROPPED,"Allowing users to see and change profiles: If user-specified profiles are used, users should be able to see, modify and delete that profile on demand.","Users should have the ability to see, modify, and delete their own profiles as needed.",PARTIAL_CONDITION_DROPPED,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0045,NFR-005,0.6317670345306396,PARTIAL_NUMERIC_ANCHOR_DROPPED,Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility.,This is important for accessibility and ensuring everyone can understand the content.,NO_MATCH,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0025,FR-007,0.8639793992042542,PARTIAL_SCOPE_GENERALIZED,"If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.","For role-based permissions, we need to ensure that when a user performs a quick or advanced search, the system never includes any records in the result list that they don't have access to.",PARTIAL_SCOPE_GENERALIZED,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0062,NFR-020,0.6710665822029114,UNSUPPORTED_ADDITION,"Writing style: The reading and understanding of the textual content on the screen should be supported by suitable means, including the use of short sentences, the division of the text into shorter chunks or the presentation of content items in the form of bullet points.","To make sure users can understand the text quickly, we'll use short sentences, break up long texts into chunks, and present information as bullet points.",FULL_MATCH,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,unmatched_source,AUTO-0059,DATA-002,0.7065101265907288,DUPLICATE_OR_MERGED,"Providing clear error messages: The content of error messages shown on the pages or special error pages should clearly state the reason why the error occurred and, if possible, actions the user can take to resolve the error.","Sometimes, error messages can be unclear or too technical, leading to confusion among our users.",PARTIAL_SCOPE_GENERALIZED,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,unmatched_source,AUTO-0002,NFR-026,0.4912104606628418,NO_MATCH,Help Module The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.,"If someone needs help with something specific, they should be able to access that information quickly without having to navigate away from their current task.",NO_MATCH,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0063,NFR-015,0.8336452841758728,FULL_MATCH,"Supporting text skimming: Fast skimming of text should be supported by the provision of clear links, bulleted lists, highlighted keywords, logical headings, and short phrases and sentences.","To support skimming better, we need clear links, bulleted lists, highlighted keywords, and logical headings.",FULL_MATCH,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0097,NFR-040,0.866023600101471,PARTIAL_ACTOR_DROPPED,"The System must be able to retrieve and display within 5-8 seconds the case which has been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system.","For cases accessed within the last two months, it should be able to retrieve and display them within 5-8 seconds — this is crucial for a good user experience.",FULL_MATCH,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0052,NFR-008,0.8092272877693176,PARTIAL_CONDITION_DROPPED,"If a splash screen is used, a navigation option to skip it should be offered.","Ideally, we should offer a skip link to bypass the splash screen so they can get straight to the content they need.",PARTIAL_CONDITION_DROPPED,0
20260429T002305Z_pure_full,pure_0000_gamma_j,0000_gamma_j,matched,AUTO-0014,FR-004,0.8723658919334412,PARTIAL_NUMERIC_ANCHOR_DROPPED,The system shall be able to email customer and vendor in less than 1 second.,We need the system to send emails to customers and vendors as quickly as possible — ideally in less than a second.,FULL_MATCH,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0054,NFR-009,0.785551905632019,PARTIAL_SCOPE_GENERALIZED,Horizontal scrolling should be avoided wherever possible.,We also want to avoid horizontal scrolling as much as possible because it can be difficult for users with visual impairments to navigate using screen readers.,UNSUPPORTED_ADDITION,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0039,NFR-001,0.6479128003120422,UNSUPPORTED_ADDITION,"Customisation should include, but need not be limited to the following changes: menu contents;",It's really important that users can customize their menu contents based on their role or preferences.,UNSUPPORTED_ADDITION,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,unmatched_source,AUTO-0073,DATA-009,0.6913485527038574,DUPLICATE_OR_MERGED,"Using colour: Colour should be used with care, taking into account human capabilities and restrictions in perceiving colour, and not as the only means of conveying information.","Additionally, we've noticed that relying solely on color coding can be problematic, as it should never be the only means of conveying important information.",DUPLICATE_OR_MERGED,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,unmatched_source,AUTO-0037,NFR-044,0.4904005527496338,NO_MATCH,Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g.,The system should be able to handle at least 1000 concurrent users without significant degradation in performance.,NO_MATCH,0
20260429T002305Z_pure_full,pure_0000_gamma_j,0000_gamma_j,matched,AUTO-0041,FR-002,0.9024783372879028,FULL_MATCH,Yoggie shall coordinate on future enhancement and features with our organization.,Yoggie should work closely with our organization on future enhancements and new features.,FULL_MATCH,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0084,NFR-019,0.854464590549469,PARTIAL_ACTOR_DROPPED,Linking back to the home page or landmark pages: Each page should contain a link leading to the home page of the application or to a landmark page that is easy to recognize for the user.,Each page should have a link back to the home or a recognizable landmark page.,FULL_MATCH,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0071,NFR-002,0.5678356885910034,PARTIAL_CONDITION_DROPPED,space filled only with the background color should be used in such a way that it does not impair the visual skimming of the page.,"We need to ensure the page length is appropriate for each task, and we should use color carefully, considering accessibility issues.",NO_MATCH,1
20260429T002305Z_pure_full,pure_0000_gamma_j,0000_gamma_j,matched,AUTO-0008,IF-004,0.570137619972229,PARTIAL_NUMERIC_ANCHOR_DROPPED,CI-2: The WebOrder system shall send an e-mail to System Administrator regarding any technical queries from customers or sales people.,"For customer support queries, the system should send an email to our System Administrator whenever a technical issue is raised by customers or sales staff.",PARTIAL_SCOPE_GENERALIZED,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0067,NFR-016,0.7740647196769714,PARTIAL_SCOPE_GENERALIZED,Within-page links are shown with dashed rather than solid underlines Avoiding link overload: Text pages containing large proportions of links should be formatted so that the presence of links does not impede the readability of the text.,The links themselves should be marked with dashed underlines instead of solid ones to avoid overwhelming the user.,PARTIAL_SCOPE_GENERALIZED,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0069,NFR-031,0.6442630887031555,UNSUPPORTED_ADDITION,Marking links opening new windows: Links that open new browser windows or pop-up windows should be clearly marked.,"For example, when a link opens a new window or tab, it includes an icon next to the text to indicate this, ensuring that all users can easily identify such links.",UNSUPPORTED_ADDITION,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,unmatched_source,AUTO-0013,NFR-035,0.6758282780647278,DUPLICATE_OR_MERGED,"The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.","The audit trail must be unalterable—no one should be able to change or delete it, ensuring its integrity.",PARTIAL_SCOPE_GENERALIZED,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,unmatched_source,AUTO-0043,NFR-005,0.4786592125892639,NO_MATCH,Software accessibility ISO 9241-171 shall be the standard for guidance on software accessibility.,This is important for accessibility and ensuring everyone can understand the content.,NO_MATCH,0
20260429T002305Z_pure_full,pure_0000_gamma_j,0000_gamma_j,matched,AUTO-0021,NFR-001,0.8935365676879883,FULL_MATCH,The system shall auto detect IP DOS attacks and block IP automatically.,"Additionally, the system should automatically detect and block IP addresses that show signs of DOS attacks.",FULL_MATCH,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0068,NFR-003,0.84797602891922,PARTIAL_ACTOR_DROPPED,"Using familiar terminology for navigation links: Navigation links — particularly links representing the main navigation structure — should be labelled with terms that are familiar to the user, based on his/her general knowledge, prior experience in the application domain or experience of using other systems.","Familiar terms are key — navigation links should be intuitive, using language that users will recognize from their experience with similar systems.",FULL_MATCH,1
20260429T002305Z_pure_full,pure_0000_gamma_j,0000_gamma_j,matched,AUTO-0026,FR-008,0.7796710729598999,PARTIAL_CONDITION_DROPPED,"For returning customers, the system shall validate 'existing' credit card in system after each log in.","For returning customers, the system should remember their card details but verify the card is still valid upon each login.",PARTIAL_CONDITION_DROPPED,0
20260429T002305Z_pure_full,pure_0000_gamma_j,0000_gamma_j,matched,AUTO-0013,NFR-003,0.5532253980636597,PARTIAL_NUMERIC_ANCHOR_DROPPED,The system shall be able to search for a specified product in less than 1 second.,"During peak usage times, such as when we have a large number of concurrent users, the system should be able to handle searches efficiently.",PARTIAL_NUMERIC_ANCHOR_DROPPED,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0055,NFR-006,0.7589846253395081,PARTIAL_SCOPE_GENERALIZED,Designing for input device independence: User interfaces should be designed to allow activation of controls by a variety of input devices.,"We also want to make sure our user interfaces allow activation of controls through a variety of input devices, not just keyboards or mice.",UNSUPPORTED_ADDITION,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0057,NFR-045,0.6219627857208252,UNSUPPORTED_ADDITION,Acceptable opening / download times: Application pages should be designed and implemented so that there are acceptable opening times and download times for the expected range of technical contexts of use (e.g.,"Ideally, pages should open within less than 2 seconds under normal network conditions.",UNSUPPORTED_ADDITION,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,unmatched_source,AUTO-0049,FR-009,0.661910355091095,DUPLICATE_OR_MERGED,Offering alternative access paths: Alternative access paths for navigating to a specific unit of content should be offered to support different navigation strategies.,"When designing different access paths or navigation structures for various user groups, we need to consider the specific tasks and information needs of each group to ensure they can efficiently find what they need.",PARTIAL_SCOPE_GENERALIZED,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,unmatched_source,AUTO-0003,NFR-026,0.4755070209503174,NO_MATCH,The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.,"If someone needs help with something specific, they should be able to access that information quickly without having to navigate away from their current task.",NO_MATCH,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0098,NFR-041,0.8177552819252014,PARTIAL_ACTOR_DROPPED,"The System must be able to retrieve and display within 20 seconds the case which has not been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system.","For older cases not accessed in the past two months, retrieval and display should happen within 20 seconds.",FULL_MATCH,1
20260429T002305Z_pure_full,pure_2005_microcare,2005_microcare,matched,AUTO-0002,FR-012,0.5900817513465881,PARTIAL_NUMERIC_ANCHOR_DROPPED,Each voucher should have two portions with three tear off voucher slips each for Client and Partner.,The system should print a receipt document when allocating vouchers.,NO_MATCH,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0046,NFR-004,0.7367316484451294,PARTIAL_SCOPE_GENERALIZED,"Providing text equivalents for non-text media objects: All non-text media objects, such as graphical images or video, should be provided with alternative equivalent textual descriptions and/or with equivalent text-based functionality.","For example, graphical images or videos should have alternative descriptions provided.",PARTIAL_SCOPE_GENERALIZED,0
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,matched,AUTO-0015,IF-003,0.5807231664657593,UNSUPPORTED_ADDITION,The System must be able to capture and store violations (i.e.,"Additionally, the system should ensure that no operational data is lost in case of equipment or communication network failures.",NO_MATCH,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,unmatched_source,AUTO-0093,NFR-047,0.6548206806182861,DUPLICATE_OR_MERGED,The planned downtime for the System must not exceed <xx> hours per <rolling three month period>.,"Ideally, it should not exceed 8 hours in any rolling three-month period.",UNSUPPORTED_ADDITION,1
20260429T002305Z_pure_full,pure_0000_cctns,0000_cctns,unmatched_source,AUTO-0024,FR-007,0.4704597294330597,NO_MATCH,the most stringent) implies that the System must not include such cases in any count of search results;,"For role-based permissions, we need to ensure that when a user performs a quick or advanced search, the system never includes any records in the result list that they don't have access to.",NO_MATCH,0
